date,BTC-USD,SPY
2022-06-17,20471.4824,345.9467
2022-06-18,19017.6426,
2022-06-19,20553.2715,
2022-06-20,20599.5371,
2022-06-21,20710.5977,354.6554
2022-06-22,19987.0293,354.0125
2022-06-23,21085.877,357.4827
2022-06-24,21231.6562,368.8484
2022-06-25,21502.3379,
2022-06-26,21027.2949,
2022-06-27,20735.4785,367.4395
2022-06-28,20280.6348,359.9316
2022-06-29,20104.0234,359.6385
2022-06-30,19784.7266,356.7167
2022-07-01,19269.3672,360.4896
2022-07-02,19242.2559,
2022-07-03,19297.0762,
2022-07-04,20231.2617,
2022-07-05,20190.1152,361.1704
2022-07-06,20548.2461,362.3902
2022-07-07,21637.5879,367.8177
2022-07-08,21731.1172,367.5152
2022-07-09,21592.207,
2022-07-10,20860.4492,
2022-07-11,19970.5566,363.3169
2022-07-12,19323.9141,360.1019
2022-07-13,20212.0742,358.2107
2022-07-14,20569.9199,357.3409
2022-07-15,20836.3281,364.1679
2022-07-16,21190.3164,
2022-07-17,20779.3438,
2022-07-18,22485.6895,361.1609
2022-07-19,23389.4336,370.9193
2022-07-20,23231.7324,373.2831
2022-07-21,23164.6289,377.0844
2022-07-22,22714.9785,373.5857
2022-07-23,22465.4785,
2022-07-24,22609.1641,
2022-07-25,21361.7012,374.0396
2022-07-26,21239.7539,369.6143
2022-07-27,22930.5488,379.2119
2022-07-28,23843.8867,383.9682
2022-07-29,23804.6328,389.5659
2022-07-30,23656.207,
2022-07-31,23336.8965,
2022-08-01,23314.1992,388.4124
2022-08-02,22978.1172,385.8498
2022-08-03,22846.5078,391.892
2022-08-04,22630.957,391.6272
2022-08-05,23289.3145,390.9653
2022-08-06,22961.2793,
2022-08-07,23175.8906,
2022-08-08,23809.4863,390.5115
2022-08-09,23164.3184,388.9607
2022-08-10,23947.6426,397.1304
2022-08-11,23957.5293,397.1304
2022-08-12,24402.8184,403.8535
2022-08-13,24424.0684,
2022-08-14,24319.334,
2022-08-15,24136.9727,405.5176
2022-08-16,23883.291,406.3119
2022-08-17,23335.998,403.4279
2022-08-18,23212.7383,404.6005
2022-08-19,20877.5527,399.1635
2022-08-20,21166.0605,
2022-08-21,21534.1211,
2022-08-22,21398.9082,390.8519
2022-08-23,21528.0879,389.9062
2022-08-24,21395.0195,391.1544
2022-08-25,21600.9043,396.6766
2022-08-26,20260.0195,383.2495
2022-08-27,20041.7383,
2022-08-28,19616.8145,
2022-08-29,20297.9941,380.7154
2022-08-30,19796.8086,376.5359
2022-08-31,20049.7637,373.6709
2022-09-01,20127.1406,374.8434
2022-09-02,19969.7715,370.8908
2022-09-03,19832.0879,
2022-09-04,19986.7129,
2022-09-05,19812.3711,
2022-09-06,18837.668,369.4914
2022-09-07,19290.3242,376.1293
2022-09-08,19329.834,378.5878
2022-09-09,21381.1523,384.4693
2022-09-10,21680.5391,
2022-09-11,21769.2559,
2022-09-12,22370.4492,388.6014
2022-09-13,20296.707,371.7041
2022-09-14,20241.0898,373.1224
2022-09-15,19701.2109,368.8862
2022-09-16,19772.584,366.072
2022-09-17,20127.5762,
2022-09-18,19419.5059,
